speaker,word_count
Jim & Pam,2
Jim and Dwight,2
Jim and Pam,9
Jim's Dad,14
Jim's voicemail,5
"Jim, Josh, and Dwight",2
"Jim, Pam, Michael and Dwight",2
Jo,2907
Jo Bennett,20
Joan,50
Jordan,64
Josh,543
Julia,76
Julie,75
Julius,78
Julius Irving,18
Justin,62
Justine,32
Karen,2719
Kathy,65
Katy,524
Keena Gifford,48
Kelly,10235
Kelly and Erin,18
Kelly's Father,19
Kelly's Mom,37
Kendall,142
Kenny,116
Kevin,13387
Kevin & Andy,1
Kevin & Meredith,1
Kevin & Oscar,3
Kevin's computer,0
Kid,27
Kids,7
Lab Tech,30
Lady,69
Lady Blogger,4
Larry,9
Larry Myers,45
Lauren,92
Laurie,29
Lawyer,138
Lefevre,153
Leo,15
Lester,379
Lily,62
Limo Driver,26
Linda,45
Liquor Store Clerk,12
Little Girl,24
Lonnie,13
Lonny,153
Luke,141
Lynn,50
M ichael,5
MIchael,69
Madge,28
Magician,167
Maguire,5
Malcolm,24
Male Applicant 1,20
Male Applicant 2,4
Male church member,17
Male voice,3
Man,405
Man 1,12
Man 2,14
Man 3,14
Man from Buffalo,36
Man in Video,35
Man in line,1
Man on Phone,112
Man on phone,25
Manager,89
Marcy,22
Margaret,43
Marie,24
Mark,691
Mark McGrath,128
Martin,222
Mary-Beth,116
Master,59
Matt,45
Maurie,82
Mee-Maw,11
MeeMaw,8
Megan,65
Melissa,136
Melvina,72
Mema,160
Member,7
Men,0
Meredith,5028
Meredith & Kelly,3
Meredith's Vet,14
"Meredith, Creed, Oscar and Matt",0
Meridith,7
Merv,174
Merv Bronte,5
Mexican Man,0
Micael,1
Micahel,48
Michae,14
Michael,165637
Michael ,31
Michael & Dwight,7
Michael & Holly,40
Michael [on phone],7
Michael and Andy,6
Michael and Christian,9
Michael and Darryl,2
Michael and Donna,0
Michael and Dwight,80
Michael and Erin,34
Michael and Holly,12
Michael and Jim,45
Michael's Ad,74
"Michael, Holly, and Darryl",18
"Michael, Pam & Ryan",22
Michael/Dwight,46
Michal,14
Micheal,57
Michel,38
Mihael,4
Miichael,2
Mikela,59
Minister,41
Miss Trudy,23
Moderator,45
Molly,57
Mose,128
Mose [on phone],1
Mother,11
Mr. Beesly,21
Mr. Brown,582
Mr. Figaro,17
Mr. Halpert,13
Mr. Kapoor,0
Mr. O'Malley,4
Mr. Ramish,75
Mr. Romanko,16
Mr. Ruger,40
Mr. Schofield,40
Mrs. California,3
Mrs. Davis,27
Mrs. Kapoor,3
Mrs. Wallace,40
Nail manager,18
Nail stylist 1,11
Nail stylist 2,13
Nana,57
Narrator,50
Nate,632
Neighbor,5
Nellie,6681
Nellie Bertram,7
Nellie and Pam,1
New Instant Message,14
Nick,490
Night cleaning crew,4
Nurse,265
O'Keefe,33
Off-camera,12
Office,3
Office Staff,8
Officer,4
Officer 1,32
Officer 2,23
Officer Foley,23
Offscreen,2
Old Lady,34
Old Man,23
Old Woman,21
Old lady,9
Older Woman,9
Older guy,11
Oscar,12717
Oscar and Stanley,8
Oscar's Computer,18
Oscar's friend,4
Oscar's voice from the computer,23
Other Guy at Bar,7
Other waitress,9
Others,2
Overhead,44
Packer,433
Pam,46649
Pam ,1
Pam & Dwight,0
Pam [on phone],17
Pam and Jim,6
Pam and Kelly,3
Pam and others,3
Pam as fourth-biggest client,17
Pam as ninth-biggest client,13
Pam's Mom,64
Pam's dad,3
Pam's mom,66
Pam/Jim,7
Paramedic,11
Parent in Audience,1
Parent in audience #1,3
Parent in audience #2,2
Paris,56
Park Ranger,18
Party Announcer,7
Party Guest,5
Party Photographer,65
Party Waiter,1
Party guests,5
Passer-by,14
Pastor,152
Patty,1
Paul,20
Paul Faust,3
Pediatrician,49
Penny,66
People in line,4
Pete,1692
Pete Halpert,15
Phil,121
Phil Maguire,22
Philip,1
Phillip,3
Phone,122
Phone Salesman,56
Photographer,128
Phylis,12
Phyliss,8
Phyllis,8291
Phyllis and Creed,1
"Phyllis, Kevin & Stanley",5
"Phyllis, Meredith, Michael, Kevin",3
"Phyllis, Stanley, Dwight",1
Pizza guy,129
Police Officer 1,42
Police Officer 2,41
Policeman,17
Pretzel guy,46
Priest,33
Prince,9
Prince Granddaughter,9
Prince Grandfather,152
Prince Grandmother,6
Prince Son,14
Producer,40
Production Assistant,19
Professor,91
Professor Powell,31
Promo Announcer,0
Promo Voice,21
Queerenstein Bears,3
Rachel,86
Radio,39
Rafe,1
Randy,13
Ravi,105
Realtor,42
Receptionist,147
Receptionitis15,9
Receptionitis15 [screen name],2
Redheaded Actress,3
Registrar,22
Rehab Nurse,4
Reid,36
Rep,63
Reporter,38
Reporter #1,11
Reporter #2,4
Robert,5808
Robert & Creed,2
Robert California,209
Robert Dunder,113
Robotic Voice,15
Roger,4
Rolando,36
Rolf,107
Rolph,83
Ronnie,15
Rory,21
Rose,91
Roy,2122
Ruger Sister 1,16
Ruger Sister 2,6
Ryan,13215
Ryan Howard,178
Ryan and Kelly,10
Ryan and Michael,1
Ryan and others,6
Ryan's Voicemail,22
Sadiq (IT guy),57
Salesman,70
Salesmen,13
Saleswoman,4
Sam,106
Santigold,26
Sasha,38
School Official,23
Second Cindy,56
Second Shareholder,8
Secretary,47
Security,9
Security guard,6
Senator,230
Senator Lipton,170
Senator Liptop,47
Sensei,118
Sensei Ira,1
Server,12
Seth Mayers,30
Shane,65
Shareholder,3
Shelby,41
Sheriff,73
Sherri,57
Shirley,106
Soldier,55
Someone,13
Son,37
Song,10
Spanish Teacher,19
Speaker,115
Stanely,5
Stanley,6338
Stanley & Phyllis,0
Staples Guy,9
Stephanie,30
Steve,24
Stewardess,7
Stonewall Host,28
Store Employee,9
Stripper,31
Stu,3
Student 1,16
Student 2,19
Student 3,14
Students,78
Suit Store Father,90
Suit Store Son,42
Supervisor,5
Susan,421
Sweeney Todd,108
TV,6
Tall Girl #1,23
Tall Girl #2,8
Tattoo Artist,42
Teacher,126
Teammates,1
Tech Guy,6
Ted,4
Teddy,11
Teddy Wallace,2
The Kids,4
Third Shareholder,10
Toby,8902
Todd,446
Todd Packer,1082
Together,2
Tom,215
Tom Halpert,6
Tom and Pete,1
Tony,145
Travel Agent,25
Trevor,281
Troy,97
Ty,8
Uncle Al,43
Unknown,2
Usher,30
VRG 1,15
VRG 2,11
Val,409
Vance Refrigeration Guy,31
Vance Refrigeration Guy 1,4
Vance Refrigeration Guy 2,1
Vance Refrigeration Worker #1,48
Vance Refrigeration Worker #2,11
